date,open,high,low,close,adj close,volume,ticker
2022-10-07,99.8499984741211,100.52999877929688,98.30000305175781,98.68000030517578,98.68000030517578,27481800,GOOGL
2022-10-10,99.0,99.0999984741211,97.01000213623047,97.86000061035156,97.86000061035156,18225100,GOOGL
2022-10-11,97.43000030517578,99.25,96.30999755859375,97.18000030517578,97.18000030517578,26507100,GOOGL
2022-10-12,97.30000305175781,98.75,96.73999786376953,97.55999755859375,97.55999755859375,21876400,GOOGL
2022-10-13,95.1500015258789,99.77999877929688,94.37999725341797,99.05999755859375,99.05999755859375,34574500,GOOGL
2022-10-14,99.98999786376953,100.69000244140625,96.37000274658203,96.55999755859375,96.55999755859375,25388100,GOOGL
2022-10-17,98.86000061035156,100.93000030517578,98.83000183105469,99.97000122070312,99.97000122070312,28419200,GOOGL
2022-10-18,103.12999725341797,103.47000122070312,99.97000122070312,100.7699966430664,100.7699966430664,24060700,GOOGL
2022-10-19,100.01000213623047,101.0199966430664,98.91999816894531,99.62999725341797,99.62999725341797,23811100,GOOGL
2022-10-20,100.0,102.31999969482422,99.38999938964844,99.97000122070312,99.97000122070312,25323200,GOOGL
2022-10-21,97.8499984741211,101.30999755859375,97.72000122070312,101.12999725341797,101.12999725341797,32424700,GOOGL
2022-10-24,101.80000305175781,102.75,99.9800033569336,102.5199966430664,102.5199966430664,27176400,GOOGL
2022-10-25,102.9000015258789,104.81999969482422,102.72000122070312,104.4800033569336,104.4800033569336,40611400,GOOGL
2022-10-26,96.43000030517578,98.30999755859375,94.69000244140625,94.93000030517578,94.93000030517578,88114100,GOOGL
2022-10-27,94.5199966430664,95.43000030517578,91.80000305175781,92.22000122070312,92.22000122070312,60710900,GOOGL
2022-10-28,92.2699966430664,96.55000305175781,92.12999725341797,96.29000091552734,96.29000091552734,43594847,GOOGL
2022-09-29,139.36000061035156,139.83999633789062,135.1999969482422,136.41000366210938,136.41000366210938,38985400,META
2022-09-30,136.0500030517578,140.99000549316406,135.5,135.67999267578125,135.67999267578125,33132400,META
2022-10-03,137.13999938964844,139.6199951171875,136.10000610351562,138.61000061035156,138.61000061035156,27723100,META
2022-10-04,140.49000549316406,142.38999938964844,139.33999633789062,140.27999877929688,140.27999877929688,34670700,META
2022-10-05,138.24000549316406,140.2100067138672,134.77999877929688,138.97999572753906,138.97999572753906,27979300,META
2022-10-06,137.72000122070312,141.4499969482422,136.60000610351562,139.07000732421875,139.07000732421875,36231100,META
2022-10-07,136.75999450683594,138.2899932861328,132.44000244140625,133.4499969482422,133.4499969482422,33179700,META
2022-10-10,133.5500030517578,136.11000061035156,131.8699951171875,133.7899932861328,133.7899932861328,24024000,META
2022-10-11,131.6199951171875,132.66000366210938,126.98999786376953,128.5399932861328,128.5399932861328,38481400,META
2022-10-12,128.32000732421875,129.6699981689453,126.25,127.5,127.5,34605200,META
2022-10-13,123.52999877929688,131.13999938964844,122.52999877929688,130.2899932861328,130.2899932861328,34325700,META
2022-10-14,131.0,131.7899932861328,126.5199966430664,126.76000213623047,126.76000213623047,23538600,META
2022-10-17,130.3000030517578,134.7899932861328,130.17999267578125,134.0399932861328,134.0399932861328,29612200,META
2022-10-18,137.08999633789062,137.83999633789062,131.39999389648438,132.8000030517578,132.8000030517578,25445000,META
2022-10-19,132.88999938964844,137.0,132.22000122070312,133.22999572753906,133.22999572753906,30691000,META
2022-10-20,132.92999267578125,136.77000427246094,131.30999755859375,131.52999877929688,131.52999877929688,26356300,META
2022-10-21,126.30999755859375,130.1199951171875,125.44000244140625,130.00999450683594,130.00999450683594,46195500,META
2022-10-24,127.25,133.47999572753906,124.56999969482422,129.72000122070312,129.72000122070312,63563400,META
2022-10-25,130.8800048828125,138.35000610351562,130.58999633789062,137.50999450683594,137.50999450683594,38433200,META
2022-10-26,131.67999267578125,135.5500030517578,128.52999877929688,129.82000732421875,129.82000732421875,82791500,META
2022-10-27,97.9800033569336,102.5,96.37999725341797,97.94000244140625,97.94000244140625,232316600,META
2022-10-28,99.58000183105469,100.8499984741211,97.51000213623047,99.19999694824219,99.19999694824219,93963575,META
